page_num,table_num,columns
1,0,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
2,0,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
2,1,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
2,2,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
3,0,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
3,1,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
4,0,"['Superset - 3 rounds', 'Depth Drops', '3', '5', '', '', '', '--:-- min', '']"
4,1,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
4,2,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
5,0,"['', 'Wall Drill Singles/Doubles', '2', '5', '', '', '', '--:-- min', '']"
5,1,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
5,2,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
6,0,"['Superset - 3 rounds', '', '', '', '', '', '', '', '']"
6,1,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
7,0,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
7,1,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
8,0,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
8,1,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
8,2,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
9,0,"['Superset - 3 rounds', 'Depth Drop Jumps', '3', '5', '', '', '', '--:-- min', '']"
9,1,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
9,2,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
10,0,"['', 'Wall Drill Singles/Doubles', '2', '5', '', '', '', '--:-- min', '']"
10,1,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
10,2,"['', 'Exercise', 'Sets', 'Reps', 'Weight', 'Distance', 'Time', 'Rest', 'Notes']"
11,0,"['Superset - 3 rounds', '', '', '', '', '', '', '', '']"
