week,day,block,exercise_name,sets,reps,weight,distance,time,rest,notes,page_num,table_num
Week 1,Day 1 - DAY 1,CORE - 2 rounds,Front Plank,2,3,,,00:00:15,5 sec,,1,0
Week 1,Day 1 - DAY 1,Superset - 3 rounds,Depth Drops,3,5,,,,--:-- min,,1,0
Week 1,Day 1 - DAY 1,Superset - 3 rounds,DB/KB Goblet Split Squat,3,5,,,,--:-- min,Perform each side | Tempo: 3-2-X,1,0
Week 1,Day 1 - DAY 1,Superset - 3 rounds,Cable Split Stance 1 Arm Low Row,3,8,,,,--:-- min,Perform each side,1,0
Week 1,Day 3 - DAY 2,DYNAMIC WARM UP,Knee Hug to Lateral Lunge Hands OH,1,0,,20.00 yds,,0 sec,Perform each side,2,1
Week 1,Day 3 - DAY 2,Superset - 3 rounds,MB Shot Put Throw,3,5,,,,--:-- min,Perform each side,2,1
Week 1,Day 3 - DAY 2,Superset,Lateral Sled Push,3,,,30.00 yds,,--:-- min,Perform each side,2,1
Week 1,Day 5 - DAY 3,CORE - 2 rounds,Supine Dead Bugs w/ Opposite Press,2,8,,,,0 sec,Perform each side,3,0
Week 1,Day 5 - DAY 3,Superset - 3 rounds,MB Rapid Lateral Wall Drill,3,12,,,,--:-- min,,3,0
Week 1,Day 5 - DAY 3,Superset - 3 rounds,Foam Roller RDL,3,6,,,,--:-- min,,3,0
Week 1,Day 5 - DAY 3,Superset,DB Reverse Lunge,3,8,,,,--:-- min,Perform each side,3,0
Week 1,Day 5 - DAY 3,CORE - 2 rounds,Front Plank,2,3,,,00:00:20,5 sec,,3,1
Week 2,Day 2 - Workout #7,Superset - 3 rounds,Depth Drops,3,5,,,,--:-- min,,4,0
Week 2,Day 2 - Workout #7,Superset - 3 rounds,DB/KB Goblet Split Squat,3,5,,,,--:-- min,Perform each side | Tempo: 3-2-X,4,0
Week 2,Day 2 - Workout #7,Superset - 3 rounds,Cable Split Stance 1 Arm Low Row,3,8,,,,--:-- min,Perform each side,4,0
Week 2,Day 2 - Workout #7,DYNAMIC WARM UP,Knee Hug to Lateral Lunge Hands OH,1,0,,20.00 yds,,0 sec,Perform each side,4,2
Week 2,Day 4 - Workout #9,Superset - 3 rounds,MB Shot Put Throw,3,5,,,,--:-- min,Perform each side,5,0
Week 2,Day 4 - Workout #9,Superset,Lateral Sled Push,3,,,30.00 yds,,--:-- min,Perform each side,5,0
Week 2,Day 4 - Workout #9,CORE - 2 rounds,Supine Dead Bugs w/ Opposite Press,2,8,,,,0 sec,Perform each side,5,2
Week 2,Day 4 - Workout #9,Superset - 3 rounds,MB Rapid Lateral Wall Drill,3,12,,,,--:-- min,,5,2
Week 2,Day 4 - Workout #9,Superset - 3 rounds,Foam Roller RDL,3,6,,,,--:-- min,,5,2
Week 3,Day 1 - DAY 1,Superset,DB Reverse Lunge,3,8,,,,--:-- min,Perform each side,6,0
Week 3,Day 1 - DAY 1,CORE - 2 rounds,Front Plank,2,2,,,00:00:30,5 sec,,6,1
Week 3,Day 1 - DAY 1,Superset - 3 rounds,Depth Drop Jumps,3,5,,,,--:-- min,,6,1
Week 3,Day 1 - DAY 1,Superset - 3 rounds,DB/KB Goblet Split Squat,3,6,,,,--:-- min,Perform each side | Tempo: 3-2-X,6,1
Week 3,Day 1 - DAY 1,Superset - 3 rounds,Cable Split Stance 1 Arm Low Row,3,10,,,,--:-- min,Perform each side,6,1
Week 3,Day 3 - DAY 2,DYNAMIC WARM UP,Knee Hug to Lateral Lunge Hands OH,1,0,,20.00 yds,,0 sec,Perform each side,7,1
Week 3,Day 3 - DAY 2,Superset - 3 rounds,MB Shot Put Throw,3,5,,,,--:-- min,Perform each side,7,1
